RGIId,name,name_RGI60,area,lon,lat,mb_gta,mb_mwea,mb_mwea_sigma,term_type,date_start,length_yr,date0_raw,date1_raw,date0,date1
RGI60-01.23646,West Yakutat,West Yakutat Glacier,140,-138.94,59.61,-0.3,-2.17,-0.318266667,Lake,8/28/00,12,8/28/00,8/28/12,2000-08-28,2012-08-28
RGI60-01.13826,Battle,Battle Glacier,178,-138.35,59.67,-0.37,-2.08,-0.305066667,Lake,8/29/06,7,8/29/06,8/29/13,2006-08-29,2013-08-29
RGI60-01.20937,Konamoxt,Konamoxt Glacier,69,-137.7,59.3,-0.1,-1.46,-0.214133333,Lake,6/6/96,15,6/6/96,6/6/11,1996-06-06,2011-06-06
RGI60-01.20796,Brady,Brady Glacier,549,-136.82,58.57,-0.61,-1.11,-0.1628,Lake,6/4/95,16,6/4/95,6/4/11,1995-06-04,2011-06-04
RGI60-01.26732,Melbern,Grand Pacific Glacier,429,-137.45,59.16,-0.46,-1.07,-0.156933333,Lake,6/6/96,15,6/6/96,6/6/11,1996-06-06,2011-06-06
RGI60-01.01524,Meade,Meade Glacier,461,-134.77,59.23,-0.47,-1.03,-0.151066667,Lake,9/3/07,5,9/3/07,9/3/12,2007-09-03,2012-09-03
RGI60-01.01520,Field,Field Glacier,193,-134.54,59.02,-0.18,-0.94,-0.137866667,Lake,9/3/07,5,9/3/07,9/3/12,2007-09-03,2012-09-03
RGI60-01.26730,Davidson,Davidson Glacier,100,-135.62,59.06,-0.08,-0.78,-0.1144,Lake,6/1/05,6,6/1/05,6/1/11,2005-06-01,2011-06-01
RGI60-01.00704,Gilkey,Gilkey Glacier,230,-134.4,58.87,-0.17,-0.75,-0.11,Lake,9/3/07,5,9/3/07,9/3/12,2007-09-03,2012-09-03
RGI60-01.01522,Llewellyn,Llewellyn Glacier,450,-134.19,59,-0.27,-0.61,-0.089466667,Lake,9/3/07,5,9/3/07,9/3/12,2007-09-03,2012-09-03
RGI60-01.00709,Mendenhall,Mendenhall Glacier,109,-134.48,58.52,-0.06,-0.57,-0.0836,Lake,9/5/99,13,9/5/99,9/5/12,1999-09-05,2012-09-05
RGI60-01.03622,LeConte,LeConte Glacier,448,-132.27,56.98,-0.44,-0.98,-0.143733333,Tidewater,6/14/96,17,6/14/96,6/14/13,1996-06-14,2013-06-14
RGI60-01.21001,Riggs,Riggs Glacier,115,-136.26,59.17,-0.07,-0.6,-0.088,Tidewater,6/1/05,6,6/1/05,6/1/11,2005-06-01,2011-06-01
RGI60-01.20783,Reid,Reid Glacier,63,-136.85,58.74,-0.02,-0.39,-0.0572,Tidewater,6/4/95,16,6/4/95,6/4/11,1995-06-04,2011-06-04
RGI60-01.20470,Lamplugh,Lamplugh Glacier,104,-136.92,58.78,-0.03,-0.27,-0.0396,Tidewater,6/4/95,16,6/4/95,6/4/11,1995-06-04,2011-06-04
RGI60-01.20841,Muir,Muir Glacier,80,-136.47,59.22,-0.01,-0.13,-0.019066667,Tidewater,5/27/00,11,5/27/00,5/27/11,2000-05-27,2011-05-27
RGI60-01.20891,Margerie,Margerie Glacier,158,-137.27,58.94,0.02,0.13,0.019066667,Tidewater,6/2/05,6,6/2/05,6/2/11,2005-06-02,2011-06-02
RGI60-01.01390,Taku,Taku Glacier,735,-134.22,58.66,0.09,0.13,0.019066667,Tidewater,9/3/93,19,9/3/93,9/3/12,1993-09-03,2012-09-03
